index,title_ID,score,knowledge,sub_knowledge,knowledge_num,sub_knowledge_num,t_sbmnum,t_mean_sbmnum,t_mean_score,t_mean_pfm_mem,t_max_pfm_mem,t_min_pfm_mem,t_mean_pfm_tc,t_max_pfm_tc,t_min_pfm_tc,t_subtime_f,t_subtime_l,t_period,t_methodNum
0,Question_3MwAFlmNO8EKrpY5zjUd,2,t5V9e,t5V9e_e1k6cixp,1,1,12043,8.848640705363703,37.33704226521631,326.14464407550605,13124,172,3.7765409536467853,37,1,2023-08-31 15:15:44,2024-01-14 10:36:37,135 days 19:20:53,[2297 2401 2488 2400 2457]
1,Question_3oPyUzDmQtcMfLpGZ0jW,2,t5V9e,t5V9e_e1k6cixp,1,1,9953,7.323767476085357,20.707324424796543,321.14349964862964,4172,176,3.8233638282899367,48,1,2023-08-31 13:54:05,2024-01-23 13:29:01,144 days 23:34:56,[2047 2030 1943 1977 1956]
2,Question_4nHcauCQ0Y6Pm8DgKlLo,3,m3D1v,m3D1v_r1d7fr3l,1,1,6125,4.557291666666667,39.76598639455782,355.47245804540967,7416,176,8.762077493816983,400,1,2023-08-31 23:59:55,2024-01-21 13:36:10,142 days 13:36:15,[1212 1264 1223 1195 1231]
3,Question_5fgqjSBwTPG7KUV3it6O,3,g7R2j,g7R2j_e0v1yls8,1,1,11755,8.700962250185048,43.58429037289097,708.68149324861,53732,184,69.40265866209262,400,1,2023-09-03 14:12:56,2024-01-25 04:58:46,143 days 14:45:50,[2281 2421 2464 2312 2277]
4,Question_62XbhBvJ8NUSnApgDL94,3,y9W5d,y9W5d_c0w4mj5h,1,1,5406,4.055513878469617,37.489209520286096,585.038401077925,9664,172,5.101694915254237,400,1,2023-09-04 12:24:35,2024-01-15 03:55:21,132 days 15:30:46,[1019 1112 1070 1091 1114]
5,Question_6RQj2gF3OeK5AmDvThUV,3,m3D1v,m3D1v_r1d7fr3l,1,1,5014,3.7784476262245668,36.79032043611222,350.47953890489913,696,180,4.743091095189355,400,1,2023-08-31 15:47:25,2024-01-21 13:34:33,142 days 21:47:08,[ 938 1004 1053 1027  992]
6,Question_7NJzCXUPcvQF4Mkfh9Wr,3,m3D1v,m3D1v_v3d9is1x,1,1,4341,3.3011406844106466,41.18866620594333,469.318287037037,59616,180,7.12827352085354,400,1,2023-09-01 15:14:50,2024-01-14 14:08:23,134 days 22:53:33,[887 869 852 860 873]
7,Question_Az73sM0rHfWVKuc4X2kL,3,y9W5d,y9W5d_p8g6dgtv,1,1,6341,4.7356235997012694,43.37906744467224,394.87993862677405,43452,184,6.028304870335231,400,1,2023-09-05 09:57:28,2024-01-16 07:51:40,132 days 21:54:12,[1311 1207 1329 1258 1236]
8,Question_BW0ItEaymH3TkD6S15JF,1,r8S3g,r8S3g_n0m9rsw4,1,1,7121,5.278724981467754,21.68234798483359,294.29969909729186,4284,160,3.4169358236202783,20,1,2023-08-31 09:04:18,2024-01-14 09:55:24,136 days 00:51:06,[1442 1404 1398 1457 1420]
9,Question_EhVPdmlB31M8WKGqL0wc,3,y9W5d,y9W5d_e2j7p95s,1,1,6660,4.977578475336323,39.454454454454456,382.3303845459469,860,180,7.403198781416603,400,1,2023-09-06 23:30:22,2024-01-16 08:03:13,131 days 08:32:51,[1387 1306 1379 1346 1242]
10,Question_Ej5mBw9rsOUKkFycGvz2,3,y9W5d,y9W5d_c0w4mj5h,1,1,6104,4.56544502617801,34.119702927042376,425.07057890563044,55524,184,5.288918424987539,400,1,2023-09-04 12:02:36,2024-01-14 15:41:28,132 days 03:38:52,[1206 1197 1187 1260 1254]
11,Question_FNg8X9v5zcbB1tQrxHR3,4,b3C9s,b3C9s_j0v1yls8,1,1,6332,4.782477341389728,36.00758054327227,369.7162162162162,896,180,4.458767772511848,400,1,2023-09-07 11:39:15,2024-01-16 08:08:12,130 days 20:28:57,[1294 1288 1286 1184 1280]
12,Question_Jr4Wz5jLqmN01KUwHa7g,3,m3D1v,m3D1v_t0v5ts9h,1,1,6028,4.488458674609084,33.89736783897368,925.5636738906089,63088,180,17.726362038664323,400,1,2023-09-01 01:53:10,2024-01-14 14:32:31,135 days 12:39:21,[1254 1201 1200 1164 1209]
13,Question_Mh4CZIsrEfxkP1wXtOYV,3,y9W5d,y9W5d_c0w4mj5h,1,1,4770,3.6081694402420577,28.9937106918239,404.5766590389016,39216,168,3.951585623678647,394,1,2023-09-04 12:12:57,2024-01-15 03:50:15,132 days 15:37:18,[910 973 955 938 994]
14,Question_NixCn84GdK2tySa5rB1V,3,m3D1v,m3D1v_r1d7fr3l,1,1,3694,2.865787432117921,40.877097996751495,360.6301660190745,6592,184,5.557671081677705,400,1,2023-08-31 15:55:23,2024-01-14 13:20:41,135 days 21:25:18,[705 789 747 737 716]
15,Question_Ou3f2Wt9BqExm5DpN7Zk,3,y9W5d,y9W5d_p8g6dgtv,1,1,3376,2.6375,45.34952606635071,401.5029069767442,52584,184,4.933174224343675,400,1,2023-09-04 23:49:10,2024-01-15 05:03:54,132 days 05:14:44,[694 685 690 680 627]
16,Question_QRm48lXxzdP7Tn1WgNOf,3,y9W5d m3D1v,y9W5d_c0w4mj5h m3D1v_r1d7fr3l,2,2,6488,4.845407020164302,44.28688861487875,374.03439985204363,28484,180,4.918948182521269,400,1,2023-09-01 01:38:54,2024-01-14 14:49:04,135 days 13:10:10,[1271 1245 1294 1410 1268]
17,Question_TmKaGvfNoXYq4FZ2JrBu,3,m3D1v,m3D1v_r1d7fr3l,1,1,6085,4.517446176688939,31.054505614900023,1009.5453991468617,53216,180,9.710663308144417,400,1,2023-09-01 04:38:49,2024-01-14 11:00:41,135 days 06:21:52,[1233 1186 1186 1275 1205]
18,Question_UXqN1F7G3Sbldz02vZne,3,y9W5d,y9W5d_c0w4mj5h,1,1,4493,3.429770992366412,49.81823577416723,523.5341283938087,65536,128,5.85781990521327,400,1,2023-09-04 14:57:14,2024-01-15 04:29:08,132 days 13:31:54,[876 875 860 959 923]
19,Question_VgKw8PjY1FR6cm2QI9XW,1,r8S3g,r8S3g_l0p5viby,1,1,5881,4.382265275707899,26.526101003230746,282.6711259754738,640,164,3.3032005447735786,60,1,2023-08-31 08:46:23,2024-01-22 05:54:17,143 days 21:07:54,[1153 1125 1138 1281 1184]
20,Question_X3wF8QlTyi4mZkDp9Kae,3,g7R2j,g7R2j_e0v1yls8,1,1,4442,3.3779467680608364,40.74741107609185,430.45508982035926,43196,184,4.234829686442589,400,1,2023-09-03 14:45:43,2024-01-20 02:20:01,138 days 11:34:18,[920 892 871 824 935]
21,Question_YWXHr4G6Cl7bEm9iF2kQ,3,g7R2j,g7R2j_j1g8gd3v,1,1,6041,4.569591527987897,33.01329801909176,651.2140522875817,31172,180,5.043730329633924,400,1,2023-09-04 11:51:28,2024-01-15 06:32:50,132 days 18:41:22,[1228 1186 1193 1231 1203]
22,Question_ZTbD7mxr2OUp8Fz6iNjy,3,m3D1v,m3D1v_v3d9is1x,1,1,3142,2.470125786163522,44.97135582431572,396.8255033557047,37460,172,3.6969897452861398,37,1,2023-08-31 09:07:10,2024-01-14 14:15:36,136 days 05:08:26,[651 612 552 678 649]
23,Question_bumGRTJ0c8p4v5D6eHZa,3,b3C9s,b3C9s_l4z6od7y,1,1,4642,3.532724505327245,47.019962659773086,411.4034552845528,44020,180,5.497836434443964,400,1,2023-09-03 14:43:07,2024-01-16 08:07:03,134 days 17:23:56,[959 940 951 891 901]
24,Question_fZrP3FJ4ebUogW9V7taS,1,r8S3g,r8S3g_n0m9rsw4,1,1,9186,6.7693441414885775,16.372741127803177,279.83122610996764,640,156,3.4019159590681474,24,1,2023-08-31 09:01:30,2024-01-14 08:36:24,135 days 23:34:54,[1723 1798 1812 1975 1878]
25,Question_h7pXNg80nJbw1C4kAPRm,3,m3D1v,m3D1v_r1d7fr3l,1,1,6435,4.787946428571429,31.142191142191137,355.3633187772926,764,188,6.969561038128805,400,1,2023-08-31 23:50:05,2024-01-21 13:32:57,142 days 13:42:52,[1331 1172 1307 1326 1299]
26,Question_hZ5wXofebmTlzKB1jNcP,3,b3C9s,b3C9s_l4z6od7y,1,1,3806,2.94354215003867,38.64950078822911,313.0158283503342,640,180,3.7126619085381973,45,1,2023-09-07 13:20:14,2024-01-16 08:07:39,130 days 18:47:25,[795 753 744 701 813]
27,Question_lU2wvHSZq7m43xiVroBc,3,y9W5d k4W1c,y9W5d_c0w4mj5h k4W1c_h5r6nux7,2,2,6240,4.667165295437547,38.33867521367522,381.3070422535211,21152,180,5.024137372428317,400,1,2023-09-04 12:07:05,2024-01-15 03:47:25,132 days 15:40:20,[1165 1257 1231 1286 1301]
28,Question_n2BTxIGw1Mc3Zo6RLdUe,3,m3D1v,m3D1v_r1d7fr3l,1,1,6876,5.093333333333334,21.596858638743456,444.18060321473723,51376,160,3.8756009615384617,117,1,2023-09-01 00:25:54,2024-01-14 13:54:13,135 days 13:28:19,[1419 1394 1394 1297 1372]
