index,title_ID,score,knowledge,sub_knowledge,knowledge_num,sub_knowledge_num,t_sbmnum,t_mean_sbmnum,t_mean_score,t_mean_pfm_mem,t_max_pfm_mem,t_min_pfm_mem,t_mean_pfm_tc,t_max_pfm_tc,t_min_pfm_tc,t_subtime_f,t_subtime_l,t_period,t_methodNum
0,Question_1088,1,Stacks & Queues,Queues,1,1,1462,5.496240601503759,14.705882352941178,15007.499276411,1570456,1724,2891.678002894356,17503,10,2024-02-21 23:01:00,2024-06-17 21:08:06,116 days 22:07:06,[1459    3]
1,Question_11048,1,Tree Basics,Tree Traverse,1,1,1093,4.140151515151516,26.898444647758463,34797.091262135924,1570748,1656,1436.866990291262,30568,10,2024-03-26 19:17:11,2024-06-17 20:16:52,83 days 00:59:41,[1089    4]
2,Question_1141,1,Search,Hashing,1,1,1448,3.9889807162534434,32.66574585635359,27430.3560371517,1570516,616,1989.654024767802,18252,3,2024-05-06 14:21:55,2024-06-18 09:46:56,42 days 19:25:01,[1437   11]
3,Question_1142,1,Priority Queues,Priority Queues,1,1,1672,6.852459016393443,16.208133971291865,26841.49174917492,1570592,1436,2682.029702970297,17708,9,2024-04-18 18:33:37,2024-06-16 21:47:25,59 days 03:13:48,[1663    9]
4,Question_1175,1,Sort,Sorting Algorithms,1,1,1798,6.353356890459364,14.794215795328142,56291.61494616846,1570448,3280,1186.7891070297658,17517,10,2024-05-16 11:39:56,2024-06-17 20:20:23,32 days 08:40:27,[1761   37]
5,Question_12100,1,Advanced Trees,Huffman Tree,1,1,1011,4.414847161572053,24.826904055390703,17872.345733041577,1570416,1684,3563.022975929978,30649,1,2024-04-05 18:30:38,2024-06-16 21:53:21,72 days 03:22:43,[1007    4]
6,Question_1325,1,Linear Lists,Arrays,1,1,1059,3.078488372093023,34.08876298394712,3805.210152284264,9528,3136,1409.3380710659899,35006,19,2024-03-02 10:07:06,2024-06-17 19:45:10,107 days 09:38:04,[1045   14]
7,Question_14290,1,Graph,Shortest Path,1,1,538,4.373983739837398,18.401486988847584,179742.56916996048,1570616,3208,5180.231225296443,18125,12,2024-05-26 20:08:29,2024-06-19 16:31:55,23 days 20:23:26,[533   1   4]
8,Question_2119,1,Linear Lists,Linked Lists,1,1,1264,3.9376947040498442,25.949367088607595,5119.555169417898,1570344,3212,410.68983492615115,17504,11,2024-03-02 09:50:12,2024-06-16 23:24:23,106 days 13:34:11,[1264]
9,Question_2126,1,Linear Lists,Arrays,1,1,774,2.1205479452054794,52.71317829457365,3757.6323119777157,9508,1728,71.20473537604457,17503,3,2024-03-02 09:18:19,2024-06-19 09:28:39,109 days 00:10:20,[767   7]
